State/UT,Cases_2020,Deaths_2020,Cases_2021,Deaths_2021,Cases_2022,Deaths_2022,Cases_2023,Deaths_2023,Cases_2024_Upto_Nov,Deaths_2024_Upto_Nov
Andhra Pradesh,2027,0,1315,0,2022,0,5268,0,7273,0
Arunachal Pradesh,33,0,8,0,18,0,11,0,13,0
Assam,484,2,162,0,280,0,567,0,3178,7
Bihar,518,0,647,0,578,0,1257,0,707,0
Chhattisgarh,36667,34,29733,38,30029,20,31706,15,31043,8
Goa,102,0,90,0,587,0,1346,0,844,0
Gujarat,4771,1,4921,0,4785,0,4311,1,3633,0
Haryana,111,0,54,0,52,0,85,0,544,0
Himachal Pradesh,34,0,15,0,12,0,23,0,27,0
Jharkhand,16653,8,14198,0,19167,4,34087,2,37871,0
Karnataka,1701,1,913,2,289,0,275,2,690,1
Kerala,268,1,309,1,439,0,569,7,894,5
Madhya Pradesh,6760,1,3181,2,3826,0,3794,0,3107,0
Maharashtra,15215,12,19303,14,15451,26,16159,19,19021,10
Manipur,36,2,19,0,30,0,34,0,41,0
Meghalaya,2018,4,491,3,479,8,1755,14,644,4
Mizoram,7781,6,8018,10,11156,10,18077,13,16497,5
Nagaland,12,0,8,0,9,0,10,0,10,0
Odisha,41739,9,25503,13,23770,5,41973,4,63774,6
Punjab,109,0,71,0,119,2,75,0,354,0
Rajasthan,1276,0,925,0,1565,1,2263,0,2037,0
Sikkim,4,0,4,0,8,0,6,0,7,0
Tamil Nadu,891,0,772,0,354,0,385,0,328,0
Telangana,870,0,874,0,611,0,420,0,250,0
Tripura,3395,2,10136,4,12771,3,22412,1,9770,0
Uttar Pradesh,28668,0,10792,0,7039,0,13603,0,13719,0
Uttarakhand,15,0,13,0,19,0,24,0,230,0
West Bengal,14049,7,28987,3,40594,3,26493,2,20694,1
"Andaman And
Nicobar Islands",85,2,27,0,50,0,42,0,97,0
Chandigarh,7,0,6,0,2,0,2,0,141,0
Delhi,135,1,167,0,263,1,344,1,749,0
Jammu And Kashmir,37,0,31,0,35,0,44,0,108,0
Ladakh,0,0,0,0,2,0,10,1,9,0
Lakshadweep,6,0,1,0,0,0,0,0,0,0
Puducherry,15,0,5,0,0,0,6,0,14,0
"The Dadra And
Nagar Haveli And Daman And Diu",40,0,54,0,111,0,128,1,178,0
INDIA,186532,93,161753,90,176522,83,227564,83,238496,47
